dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,proto,service,state,is_anomaly
0.001032,2,2,146,178,2906.976908,31,29,565891.5,689922.5,0,0,0.008,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,3,1,1,5,0,0,0,4,2,0,udp,dns,CON,0
0.043531,48,50,2958,32368,2228.297044,31,29,532402.1875,5829592.5,7,18,0.91866,0.877061,63.133155,60.957184,255,2006951447,4152645472,255,0.000677,0.000554,0.000123,62,647,0,0,2,0,5,1,1,1,0,0,0,1,10,0,tcp,-,FIN,0
0.210507,6,2,986,86,33.25305,62,252,31238.86523,1634.149902,2,1,42.1014,0.003,2286.781406,0.0,255,2107447965,3651936057,255,0.149975,0.087419,0.062556,164,43,0,0,8,3,3,3,1,6,0,0,0,4,6,0,tcp,-,CON,0
1.22296,34,12,26702,642,36.795971,254,252,169536.2031,3852.947021,13,3,36.423364,105.137273,2781.55936,170.507578,255,1621389954,56933967,255,0.130293,0.066447,0.063846,785,54,0,0,5,1,1,1,1,4,0,0,0,1,4,0,tcp,-,FIN,0
0.000981,2,2,146,178,3058.103916,31,29,595310.875,725790.0,0,0,0.004,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,0,0,0,4,1,0,udp,dns,CON,0
0.077125,72,74,4238,63516,1880.064879,31,29,433581.8438,6499371.5,7,30,1.081859,1.048986,79.364434,78.228041,255,2518308259,2518606538,255,0.000658,0.000541,0.000117,59,858,0,0,10,0,1,1,1,2,0,0,0,3,4,0,tcp,-,FIN,0
0.01818,7,15,9464,780,1155.115533,30,32,3569637.0,320352.0313,0,0,2.8335,1.280286,138.369475,2.119281,255,1149717701,3291299419,255,0.0,0.0,0.0,1352,52,0,0,2,0,1,1,1,1,0,0,0,1,2,0,tcp,-,CON,0
0.653967,108,114,9504,12298,337.937529,31,29,115186.2344,149132.9063,26,31,6.108981,5.781664,327.725108,319.782804,255,1702464405,3848169779,255,0.000749,0.000607,0.000142,88,108,0,0,1,0,5,1,1,3,0,0,0,12,1,0,tcp,ssh,FIN,0
0.001009,2,2,146,178,2973.240834,31,29,578790.875,705649.1875,0,0,0.005,0.004,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,9,0,5,3,1,6,0,0,0,4,6,0,udp,dns,CON,0
0.987604,10,10,800,1266,19.23848,62,252,5832.296875,9234.470703,2,2,109.534222,101.364555,6065.918763,213.64375,255,1246421195,4109294255,255,0.13155,0.075322,0.056228,80,127,1,188,2,1,1,1,1,3,0,0,1,1,2,0,tcp,http,FIN,0
